Word/Sentence,Valence,Arousal
I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,0.375,0.5
deleite,0.725,0.475
Charles Gibson takes over first place,0.6125,0.5225
sabbat,0.36270491803278626,0.21626984126984122
veo,0.6125,0.41874999999999996
equate,0.645,0.355
luksus,0.755,0.4125
convene,0.5345,0.370875
hak,0.380859375,0.341796875
No less impressive were the secular challenges.,0.5275,0.555
burro,0.51875,0.48750000000000004
"Ibid., 53.",0.475,0.44999999999999996
było,0.4574999999999998,0.2975
ruche,0.4259740259740259,0.5147727272727273
Finally in Cable Bay! Beautiful sunny weather. Can't wait for Jasper and Jasper to get up here on the 27th...,0.6875,0.4375
"This ""monetized"" the coin, making it legal tender.",0.5275,0.5
I spent the past weekend there.,0.5225,0.4325
"Well, that's really cool that you're going to be staying in the same city and everything. so umm",0.625,0.625
insulting,0.167875,0.5302500000000001
I'm trying to be helpful.,0.625,0.375
honeymoon,0.8476250000000001,0.6779999999999999
monitoreo,0.5,0.44125000000000003
masseur,0.59125,0.45999999999999996
césped,0.775,0.2625
"“Just ignore that,” he told me.",0.4275,0.35750000000000004
extraño,0.34375,0.6875
irónico,0.58125,0.6
"Dear friends,        Thank you for your kind wishes. I had as good as a birthday as one could at the ripening age of 24. I sincerely wish for the best for you all.        Best,     Tammy",0.75,0.0625
soul,0.7609999999999999,0.617375
dedicaría,0.56625,0.475
eyes,0.66175,0.555125
"Bike clubs tend to be pretty anarchic, but if you look around your community you'll find both bike riders and shop owners who ride for change.",0.535,0.46499999999999997
clothe,0.5925,0.33
tombstone,0.2675,0.48250000000000004
"“You can try to hold on,” said Ray.",0.42500000000000004,0.575
disponible,0.70625,0.51875
The Ant & the Robot,0.5,0.44999999999999996
kans,0.541015625,0.419921875
lock (hair),0.5586249999999999,0.39712499999999995
bras,0.6151315789473685,0.3782894736842105
boosheid,0.1640625,0.568359375
Oh.,0.3819458333333333,0.375
And then we did make love.,0.75,0.78
rozkoszny,0.7450000000000001,0.47
quartet,0.625,0.26125
Please see your card carrier for additional information and instructions.,0.5,0.4375
pipe,0.46875,0.38875000000000004
great,0.9036249999999999,0.6515000000000001
bestseller,0.7275,0.61125
pasożyt,0.19000000000000006,0.5099999999999999
injuria,0.23625000000000002,0.7625
designar,0.5625,0.525
chairman,0.57125,0.31875
"You must admit he was in love with you, wasn't he?",0.375,0.625
Can't wait to see my Mommie and Daddy March 5th :) :) :) :)  :)  :),0.8125,0.4375
comment,0.5273749999999999,0.34287500000000004
norteña,0.54375,0.49250000000000005
przypuszczać,0.5175000000000001,0.32500000000000007
caviar,0.56625,0.35
platillo,0.49375,0.5875
pacemaker,0.48750000000000004,0.42000000000000004
encendedor,0.53125,0.56875
snatch,0.27825000000000005,0.5684999999999999
"Think about the people in Kansas, they had to get plane tickets and hotel reservations to see this.  We live forty minutes away.  It's too good to pass up.",0.75,0.625
hatch,0.51475,0.36024999999999996
Wow. That's cool.,0.75,0.375
baggy,0.43125,0.38125
célula,0.635,0.49124999999999996
amiable,0.7125,0.23125
Today my Thaine turned 11!  Happy Birthday Thaine:),0.75,0.4375
